algorithm function experiment f
1 1 1 102.906
1 1 2 83.9252
1 1 3 74.2611
1 1 4 73.9907
1 1 5 95.1119
1 1 6 51.2739
1 1 7 78.484
1 1 8 82.0219
1 1 9 69.9255
1 1 10 64.6095
1 1 11 63.1524
1 1 12 55.7415
1 1 13 67.0363
1 1 14 65.6748
1 1 15 74.8988
1 1 16 88.2146
1 1 17 63.1601
1 1 18 77.4864
1 1 19 57.1135
1 1 20 45.4234
1 1 21 45.085
1 1 22 67.9274
1 1 23 62.5274
1 1 24 62.948
1 1 25 52.4047
1 1 26 57.7274
1 1 27 66.8925
1 1 28 66.8108
1 1 29 48.2605
1 1 30 61.0099
1 2 1 440.823
1 2 2 421.468
1 2 3 604.149
1 2 4 306.625
1 2 5 653.331
1 2 6 926.68
1 2 7 777.544
1 2 8 656.592
1 2 9 622.59
1 2 10 476.292
1 2 11 624.328
1 2 12 262.85
1 2 13 540.224
1 2 14 571.196
1 2 15 442.241
1 2 16 1045.04
1 2 17 474.994
1 2 18 433.582
1 2 19 432.396
1 2 20 522.183
1 2 21 446.98
1 2 22 444.379
1 2 23 407.467
1 2 24 452.046
1 2 25 610.486
1 2 26 574.648
1 2 27 561.901
1 2 28 612.608
1 2 29 506.074
1 2 30 665.09
1 3 1 0.0682756
1 3 2 0.00216745
1 3 3 0.0301932
1 3 4 0.0175973
1 3 5 0.0524963
1 3 6 0.389593
1 3 7 0.328415
1 3 8 0.0629364
1 3 9 0.0177805
1 3 10 0.00403667
1 3 11 0.0117065
1 3 12 0.0988067
1 3 13 0.259488
1 3 14 0.00934146
1 3 15 0.313199
1 3 16 0.00607913
1 3 17 0.0113195
1 3 18 0.125222
1 3 19 0.159393
1 3 20 0.381614
1 3 21 0.00206953
1 3 22 0.311597
1 3 23 0.0907057
1 3 24 0.000453531
1 3 25 0.110703
1 3 26 0.137536
1 3 27 0.014742
1 3 28 0.586223
1 3 29 0.0946584
1 3 30 0.00288581
2 1 1 72.7763
2 1 2 43.9497
2 1 3 62.3671
2 1 4 42.796
2 1 5 40.0799
2 1 6 51.7413
2 1 7 36.6202
2 1 8 35.1502
2 1 9 79.4113
2 1 10 42.8973
2 1 11 53.4421
2 1 12 50.5852
2 1 13 48.2468
2 1 14 69.5479
2 1 15 55.9019
2 1 16 50.8724
2 1 17 35.5675
2 1 18 61.4135
2 1 19 31.9511
2 1 20 37.8397
2 1 21 37.7743
2 1 22 54.0662
2 1 23 43.1173
2 1 24 39.3875
2 1 25 44.7098
2 1 26 31.552
2 1 27 35.9728
2 1 28 38.1728
2 1 29 68.9452
2 1 30 35.9879
2 2 1 498.798
2 2 2 324.351
2 2 3 254.495
2 2 4 286.48
2 2 5 227.42
2 2 6 469.593
2 2 7 277.734
2 2 8 300.543
2 2 9 174.853
2 2 10 182.44
2 2 11 393.829
2 2 12 284.453
2 2 13 257.392
2 2 14 269.426
2 2 15 499.533
2 2 16 251.274
2 2 17 302.302
2 2 18 338.161
2 2 19 281.739
2 2 20 414.77
2 2 21 321.203
2 2 22 256.079
2 2 23 334.431
2 2 24 174.317
2 2 25 297.652
2 2 26 358.957
2 2 27 301.831
2 2 28 361.499
2 2 29 252.328
2 2 30 266.118
2 3 1 5.31582e-07
2 3 2 3.97602e-06
2 3 3 1.27506e-06
2 3 4 6.30127e-05
2 3 5 6.38415e-07
2 3 6 5.19537e-07
2 3 7 6.19111e-09
2 3 8 6.13211e-07
2 3 9 2.25682e-06
2 3 10 1.76365e-05
2 3 11 4.1887e-06
2 3 12 1.71009e-08
2 3 13 3.36263e-08
2 3 14 1.31554e-07
2 3 15 2.0453e-07
2 3 16 9.40415e-06
2 3 17 5.00966e-06
2 3 18 2.4112e-07
2 3 19 8.29007e-06
2 3 20 1.39487e-06
2 3 21 5.09324e-06
2 3 22 3.24991e-06
2 3 23 2.81193e-07
2 3 24 8.0171e-06
2 3 25 1.60793e-07
2 3 26 1.20502e-07
2 3 27 1.29029e-06
2 3 28 3.83377e-07
2 3 29 9.84823e-08
2 3 30 1.49904e-05
